files_changed,services_modified,commit_hour,test_coverage_delta,failed_tests,build_duration_min,prev_deploy_success_rate,author_failure_rate,days_since_last_deploy,failed
21,2,2,-11.47,0,13.5,0.75,0.35,7,0
9,5,6,-10.59,1,19.2,0.79,0.06,9,0
39,3,18,-11.27,2,2.3,0.93,0.12,13,1
18,2,7,0.59,4,2.1,0.99,0.12,12,1
4,3,9,-8.0,1,6.4,0.7,0.35,12,0
25,1,19,-13.84,2,6.0,0.91,0.27,1,1
14,2,14,4.38,1,5.7,0.88,0.32,4,0
9,5,14,2.68,4,18.2,0.79,0.1,0,0
26,2,0,3.56,0,5.7,0.98,0.25,5,0
2,2,19,4.9,0,6.2,0.6,0.23,1,0
20,2,6,-11.52,2,15.4,0.55,0.33,3,1
28,2,3,-7.08,3,9.5,0.93,0.36,5,1
47,3,5,0.16,2,15.8,0.72,0.0,9,1
7,1,0,-1.08,3,2.2,0.92,0.27,10,1
44,4,4,-11.92,1,10.3,0.95,0.02,7,1
8,2,22,1.32,1,1.6,0.53,0.22,11,1
47,5,0,-10.51,4,2.2,0.94,0.12,7,1
35,2,3,-10.52,3,18.2,0.72,0.12,10,1
14,5,21,-4.26,4,3.6,0.76,0.14,5,1
17,3,1,-3.14,0,11.1,0.81,0.25,3,0
36,5,9,-3.4,3,8.8,0.96,0.13,7,0
40,4,4,-13.17,2,7.6,0.51,0.29,12,1
4,1,9,2.55,0,18.1,0.74,0.16,7,0
2,5,0,-9.69,0,1.4,0.84,0.03,9,0
6,5,21,-12.41,2,13.6,0.86,0.31,13,1
42,1,5,2.77,0,19.3,0.85,0.11,0,0
4,4,12,4.11,3,11.6,0.57,0.17,3,0
29,2,14,2.24,4,18.8,0.65,0.27,3,1
18,5,3,1.19,0,2.0,0.68,0.13,6,0
26,1,12,-1.9,3,9.0,0.9,0.02,13,0
44,3,23,-3.98,1,5.9,0.64,0.15,13,1
34,1,19,-13.26,3,14.9,0.61,0.38,10,1
10,3,23,-6.83,4,19.6,0.98,0.26,6,1
36,4,14,-7.55,3,5.9,0.5,0.27,12,1
14,2,7,-9.8,2,13.4,1.0,0.25,10,1
31,1,4,-0.53,4,4.8,0.84,0.08,7,0
48,5,14,-5.08,1,11.7,0.91,0.17,10,0
15,4,3,-13.38,2,9.8,0.65,0.3,4,1
8,1,11,-10.6,3,19.5,0.51,0.04,6,1
14,5,12,-1.33,4,12.6,0.87,0.11,7,0
23,1,1,-13.48,1,7.6,0.92,0.11,8,0
40,3,18,2.02,2,3.2,0.87,0.17,2,0
21,1,18,-5.1,1,3.9,0.57,0.39,2,0
16,1,3,-5.39,3,5.3,0.88,0.03,3,0
45,1,3,-3.15,1,5.8,0.88,0.21,4,1
18,4,10,1.49,0,17.2,0.83,0.07,9,0
47,1,4,-8.04,2,11.7,0.88,0.39,0,1
24,5,19,-1.44,1,10.9,0.92,0.05,6,0
26,3,10,-3.69,3,3.2,0.81,0.16,8,0
25,3,9,-9.66,3,17.3,0.54,0.3,7,1
45,1,7,2.57,1,14.7,0.74,0.28,4,0
41,4,5,0.95,3,2.3,0.54,0.17,13,1
29,4,5,-1.83,4,14.4,0.7,0.14,13,1
15,5,7,2.01,4,11.3,0.7,0.16,3,1
45,1,22,2.35,4,2.6,0.53,0.11,11,1
1,3,14,-0.83,0,9.7,0.67,0.08,6,0
25,4,13,1.74,1,10.2,0.56,0.19,4,0
7,1,10,-1.05,0,4.1,0.9,0.11,6,0
9,4,11,-1.4,3,19.0,0.97,0.11,11,0
24,4,12,-2.63,0,17.1,0.54,0.26,0,0
1,3,7,0.05,3,13.7,0.98,0.39,0,0
44,2,17,-11.83,3,9.8,0.76,0.24,9,1
8,5,0,2.62,2,8.8,0.65,0.03,13,0
24,5,14,2.44,4,13.4,0.54,0.03,12,1
11,3,7,-14.42,3,11.4,0.75,0.38,2,1
17,4,10,1.52,2,2.2,0.9,0.12,13,0
8,1,11,-12.42,4,10.7,0.85,0.04,10,1
35,4,11,-8.3,3,16.3,0.53,0.24,1,1
35,3,3,-0.13,3,9.7,0.54,0.25,1,1
33,5,15,-11.78,0,2.0,0.7,0.26,6,0
5,4,3,1.36,0,15.9,0.65,0.11,11,0
42,5,4,1.64,4,4.8,0.62,0.01,9,1
39,1,23,-4.85,3,5.9,0.64,0.39,1,1
41,5,4,-14.87,1,4.1,0.9,0.1,10,1
28,5,7,-9.26,0,7.3,0.96,0.27,3,0
7,2,9,-2.66,4,15.4,0.7,0.28,1,0
9,2,16,4.62,3,10.9,0.95,0.24,5,0
8,2,8,-2.36,3,4.9,0.66,0.13,7,0
12,5,21,-9.8,1,17.7,0.74,0.11,9,0
34,3,18,-2.32,4,17.7,0.61,0.24,3,1
33,5,13,-4.2,3,17.5,0.82,0.35,4,1
48,3,7,0.6,0,5.5,0.99,0.38,3,0
23,3,8,-12.86,1,9.6,0.8,0.04,2,0
24,2,21,0.22,4,19.7,0.68,0.06,4,1
37,4,10,-4.17,1,15.7,0.82,0.38,13,0
35,1,22,4.26,0,1.5,0.56,0.29,8,1
44,2,0,-8.16,4,2.2,0.94,0.35,7,1
40,2,13,-2.35,1,9.8,0.75,0.08,7,0
22,4,4,3.64,2,18.3,0.72,0.24,7,0
27,1,20,-12.95,0,11.2,0.79,0.28,11,0
35,5,13,3.74,0,10.5,0.81,0.27,7,0
1,5,3,-1.24,0,3.0,0.54,0.16,6,0
35,2,21,-13.64,2,13.5,0.84,0.01,7,0
37,1,22,-8.98,2,16.6,0.62,0.23,10,1
47,2,0,-0.84,3,8.2,0.86,0.1,13,1
14,3,21,-13.65,1,15.7,0.91,0.18,7,0
3,2,22,-3.36,3,19.3,0.9,0.38,12,1
1,2,18,-8.08,1,4.9,0.78,0.16,13,0
5,5,7,-2.58,2,10.9,0.76,0.34,7,0
26,5,14,-14.09,2,6.5,0.57,0.08,11,1
14,5,20,2.43,3,16.1,0.89,0.27,9,1
39,3,14,4.47,4,12.0,0.64,0.39,6,1
27,5,8,4.38,3,13.1,0.75,0.04,11,0
9,1,20,-0.01,1,16.2,0.64,0.0,0,0
15,4,8,-12.4,3,8.5,0.57,0.17,3,1
15,1,9,0.17,0,18.4,0.81,0.04,12,0
26,1,19,-14.51,1,11.1,0.53,0.3,12,1
42,5,20,-14.56,1,4.0,0.87,0.37,3,1
13,4,8,-8.53,4,14.2,0.66,0.17,4,0
32,4,2,-5.23,2,16.1,0.5,0.1,9,1
39,4,19,0.41,1,7.0,0.76,0.17,5,0
49,3,10,-1.33,2,17.3,0.52,0.29,3,1
32,5,5,-6.08,3,18.2,0.64,0.0,1,1
4,4,1,-9.53,0,6.3,0.85,0.24,5,0
30,3,6,4.94,4,19.7,0.53,0.25,7,1
37,2,17,-6.48,2,3.7,0.92,0.26,7,0
23,2,1,-5.97,1,4.8,0.5,0.1,6,1
39,3,16,-11.73,2,4.5,0.62,0.29,5,1
45,3,10,0.9,1,18.0,0.87,0.04,1,0
15,5,11,-1.13,2,13.4,0.66,0.08,6,0
43,5,18,-10.58,1,3.9,0.55,0.35,10,1
29,2,21,-13.35,3,9.4,0.68,0.3,11,1
36,4,23,-1.39,1,12.7,0.64,0.01,13,0
13,2,6,-1.91,1,2.6,0.92,0.1,13,0
32,4,19,-9.53,0,17.8,0.66,0.09,4,0
7,4,5,4.02,1,16.3,0.89,0.11,5,0
22,5,20,-11.98,0,10.6,0.95,0.1,9,0
28,1,23,-6.35,4,19.4,0.72,0.03,7,1
2,1,0,3.87,0,8.9,0.95,0.18,13,0
42,3,16,-6.61,3,19.7,0.69,0.29,7,1
45,5,10,-2.23,0,13.7,0.98,0.24,2,0
6,4,21,-7.05,4,13.1,0.54,0.27,11,1
28,1,17,-9.52,3,4.2,0.84,0.03,11,1
28,4,20,4.68,2,17.8,0.75,0.38,13,1
44,1,16,-6.81,2,9.1,0.69,0.34,6,0
44,1,6,2.88,0,4.1,0.82,0.32,0,0
20,1,16,-10.4,0,1.2,0.85,0.33,0,0
30,5,19,-10.74,4,11.6,0.5,0.37,6,1
11,2,8,-14.38,4,11.0,0.58,0.22,9,1
28,4,16,-1.97,1,14.7,0.86,0.08,8,0
25,5,19,-7.63,4,17.9,0.83,0.25,6,1
39,5,21,2.29,1,2.5,0.98,0.3,9,0
33,5,21,-5.54,3,14.9,0.88,0.3,4,1
1,5,7,4.36,0,4.6,0.98,0.21,7,0
27,5,16,-11.29,3,17.3,0.85,0.03,1,1
13,3,6,2.37,4,16.6,0.65,0.15,8,1
41,4,0,0.53,3,11.3,0.55,0.37,5,1
3,5,12,0.42,3,14.5,0.89,0.23,12,0
39,4,22,1.9,3,7.0,0.82,0.22,8,1
6,3,18,0.22,4,10.0,0.52,0.11,1,0
8,3,23,-2.48,3,16.6,0.68,0.15,2,1
27,4,18,-12.38,1,9.7,0.98,0.36,11,0
9,1,16,-14.35,4,7.8,0.75,0.27,7,1
37,2,12,3.42,3,10.4,0.72,0.31,0,0
33,1,15,-2.67,4,16.7,0.73,0.18,9,1
42,1,7,0.93,2,7.4,0.6,0.25,6,0
44,1,18,-5.37,1,4.3,0.68,0.1,6,0
24,5,17,-12.65,3,14.5,0.68,0.28,12,1
15,3,0,-12.5,2,16.7,0.53,0.17,0,1
32,1,13,-1.29,2,2.9,0.88,0.18,8,0
32,3,18,-6.39,4,5.6,0.71,0.26,7,1
24,4,14,-10.99,2,3.7,0.91,0.37,3,1
41,2,17,-5.17,1,7.6,0.93,0.03,9,0
49,4,1,-13.72,1,9.6,0.61,0.33,10,1
49,4,21,-3.36,0,15.2,0.83,0.12,4,0
12,5,16,-9.62,1,13.4,0.74,0.18,1,0
39,2,17,0.95,2,12.8,0.94,0.01,12,0
2,4,5,-8.79,1,7.7,0.61,0.12,8,1
3,4,18,-5.9,4,17.0,0.84,0.2,11,1
49,2,3,-14.77,0,10.0,0.8,0.02,11,1
37,2,0,-13.55,2,19.6,0.65,0.2,5,1
49,4,7,-7.15,0,13.0,0.57,0.37,2,0
17,2,22,-5.4,2,3.4,0.83,0.04,11,1
49,4,6,-3.0,4,13.8,0.87,0.31,6,1
2,4,2,-9.17,0,7.2,0.66,0.16,8,0
2,5,9,-1.1,3,14.0,0.82,0.26,2,1
28,1,9,2.2,2,2.3,0.7,0.1,1,0
23,4,18,0.6,3,4.3,0.86,0.06,6,0
37,3,13,-14.21,0,17.3,0.6,0.06,6,0
32,1,1,-5.39,3,5.3,0.95,0.03,3,0
33,1,0,-12.9,3,16.9,0.64,0.07,10,1
1,1,22,-10.16,0,6.3,0.68,0.27,8,0
19,5,22,4.73,4,13.2,0.53,0.35,13,1
2,4,17,-12.15,3,14.2,0.56,0.33,7,1
44,5,6,-5.02,3,10.7,0.76,0.27,12,1
26,4,7,-2.64,4,6.8,0.63,0.04,12,1
32,5,0,-0.95,3,5.0,0.92,0.12,0,1
6,5,22,-3.81,3,1.6,0.51,0.12,0,1
32,3,2,-14.8,3,6.8,0.69,0.1,4,1
4,5,23,-8.47,1,13.4,0.67,0.21,5,1
11,2,22,-4.65,4,18.8,0.51,0.21,2,1
17,3,7,-13.24,3,17.6,0.56,0.14,12,0
38,5,21,-7.99,4,15.6,0.71,0.14,8,1
24,1,14,-14.34,2,16.0,0.75,0.33,11,1
5,2,4,-13.43,2,13.6,0.7,0.32,9,1
34,2,2,-7.06,3,5.9,0.77,0.12,13,1
6,2,18,-12.35,4,18.2,0.8,0.37,5,0
22,3,0,-3.65,4,13.7,0.5,0.38,3,1
11,5,14,-1.21,4,11.6,0.73,0.13,11,1
48,5,7,1.01,1,3.1,0.98,0.14,6,0
16,1,1,-11.0,2,9.5,0.76,0.2,7,1
33,1,2,-11.65,4,9.7,0.84,0.38,8,1
9,2,23,-12.91,4,17.4,0.66,0.35,12,1
6,1,13,-2.27,1,11.4,0.89,0.04,10,0
16,3,23,-0.87,1,8.2,0.89,0.16,5,0
29,5,13,-14.37,4,19.6,0.76,0.22,5,1
3,2,10,3.72,0,3.1,0.99,0.2,7,0
20,1,15,-13.96,4,9.0,0.56,0.08,11,1
36,3,3,-4.17,4,1.8,0.51,0.34,4,1
19,3,19,-0.82,1,15.1,0.89,0.27,13,0
26,1,4,2.42,1,18.4,0.9,0.34,2,0
3,5,21,-0.72,4,6.3,0.56,0.34,11,0
19,1,20,1.03,4,17.3,0.63,0.3,2,1
20,2,13,-8.21,4,6.6,0.51,0.18,12,1
32,1,22,1.3,1,18.3,0.65,0.24,5,0
7,3,15,-13.4,4,15.3,0.89,0.06,1,1
41,1,17,2.9,4,16.3,0.76,0.27,5,1
33,5,6,-4.05,3,1.3,0.67,0.07,12,1
40,4,9,1.35,0,19.3,0.69,0.28,5,0
39,1,6,-5.95,2,14.8,0.5,0.09,7,0
18,5,0,-2.13,0,6.8,0.65,0.05,6,0
40,5,22,-4.47,3,16.8,0.82,0.07,7,1
1,3,20,-0.37,2,6.3,0.99,0.0,13,0
11,5,18,-13.37,4,17.6,0.92,0.29,8,1
28,5,15,-13.79,3,3.1,0.51,0.29,5,1
25,5,18,-10.06,4,14.4,0.95,0.21,13,1
23,5,3,-11.81,1,11.3,0.89,0.06,2,0
31,2,17,2.44,3,2.8,0.89,0.03,9,0
30,2,1,-10.62,1,5.6,0.73,0.01,2,0
42,3,0,4.52,3,1.2,0.7,0.07,10,1
35,1,14,-8.26,3,9.9,0.65,0.36,11,1
7,5,4,-11.36,1,6.7,0.53,0.1,0,0
16,1,19,0.79,2,12.4,0.61,0.14,10,0
26,1,10,-1.83,0,6.6,0.62,0.04,12,0
48,3,9,-5.04,4,6.7,0.74,0.09,4,1
49,5,1,-3.89,3,15.1,0.87,0.21,13,1
2,5,2,-0.62,4,1.9,0.74,0.24,3,1
1,4,22,-10.43,1,18.2,0.53,0.1,8,1
48,1,22,4.93,4,17.2,0.98,0.02,8,1
12,1,11,4.5,1,13.7,0.97,0.16,13,0
5,2,19,-1.99,4,12.3,0.89,0.09,4,1
37,4,4,-11.01,0,18.0,1.0,0.09,9,1
32,2,4,-1.4,0,4.5,0.77,0.38,3,1
9,2,5,-13.56,0,2.5,0.98,0.25,6,0
41,2,8,-14.39,0,5.6,0.54,0.22,5,0
35,3,1,-9.85,0,16.1,0.68,0.17,3,1
19,3,20,-5.75,0,1.7,0.61,0.17,12,0
48,2,11,2.37,1,12.1,0.6,0.22,12,1
16,4,2,-0.46,3,19.9,0.57,0.28,9,1
3,1,19,-0.15,4,17.3,0.81,0.28,1,0
20,4,21,-6.49,0,10.9,0.89,0.07,0,0
24,5,11,-8.08,1,2.2,0.79,0.2,3,0
33,3,23,-7.58,1,16.8,0.57,0.16,3,1
24,1,16,4.75,1,12.4,0.91,0.35,12,0
11,1,9,-14.2,3,3.2,0.82,0.25,0,0
49,5,23,2.34,4,2.8,0.69,0.21,5,1
8,5,13,-3.43,3,18.3,0.84,0.05,3,0
36,2,22,-6.23,2,13.7,0.63,0.24,0,1
38,3,16,-0.49,1,16.8,0.67,0.05,0,0
40,3,17,-5.27,2,17.7,0.96,0.13,12,1
20,4,18,2.47,0,11.9,0.65,0.06,0,0
35,2,16,3.01,0,10.8,0.73,0.28,7,0
48,2,13,-6.57,3,9.2,0.95,0.08,9,1
25,2,8,-9.46,4,7.0,0.85,0.16,7,1
35,2,7,-3.15,2,9.3,0.53,0.36,1,1
25,3,1,3.25,4,15.7,0.57,0.08,10,1
29,3,12,-10.79,3,12.4,0.5,0.2,12,1
18,2,6,-2.54,0,18.0,0.82,0.17,6,0
46,4,8,-2.37,4,9.4,0.72,0.01,13,1
18,1,21,-0.34,4,12.5,0.57,0.32,7,0
2,1,21,-12.37,0,13.0,0.98,0.03,7,0
35,4,10,-0.68,2,12.2,0.76,0.19,10,0
16,2,13,3.18,0,14.4,0.62,0.22,9,0
41,3,3,-11.41,4,5.5,0.75,0.25,10,1
36,1,12,-10.25,2,10.7,0.84,0.28,12,1
33,5,1,4.43,2,3.0,0.54,0.1,6,1
4,5,22,-11.38,0,8.3,0.64,0.0,4,0
33,4,4,2.09,4,10.3,0.9,0.29,0,1
14,2,10,-5.15,3,13.4,0.73,0.21,11,1
21,1,5,-10.06,4,19.1,0.77,0.33,8,1
48,2,17,2.41,1,12.4,0.72,0.33,12,0
20,1,20,-6.09,3,15.1,0.52,0.34,6,1
8,4,9,-4.7,2,10.6,0.58,0.19,1,0
7,4,3,-7.82,3,13.0,0.72,0.13,5,1
3,5,8,-3.14,2,2.3,0.6,0.32,1,0
17,2,5,-11.73,2,5.8,0.52,0.18,0,1
33,5,1,-7.18,3,7.9,0.92,0.07,13,1
48,2,16,4.39,2,10.0,0.99,0.34,6,0
12,5,4,-9.84,2,1.9,0.9,0.35,12,1
22,3,5,-1.87,1,3.7,0.93,0.19,1,0
22,3,11,-8.5,4,6.3,0.62,0.03,12,1
46,3,22,0.47,4,19.5,0.98,0.16,13,1
30,3,20,-12.38,1,7.3,0.6,0.32,13,1
38,1,9,4.4,3,10.2,0.98,0.36,1,0
38,3,21,-5.92,0,4.7,1.0,0.08,12,0
45,4,20,-10.28,0,12.6,0.86,0.03,10,0
8,4,5,-13.53,0,6.3,0.99,0.35,4,0
27,1,7,-11.6,1,4.9,0.78,0.16,13,1
27,3,1,-4.6,1,10.8,0.63,0.22,4,1
34,3,11,-8.26,2,1.1,0.72,0.39,6,1
21,3,12,1.58,0,1.1,0.8,0.03,0,0
30,5,20,-6.38,3,5.2,0.54,0.26,7,1
33,2,6,-10.03,3,1.7,0.81,0.03,2,1
28,5,9,-2.66,0,3.1,0.99,0.15,3,0
47,2,12,-0.86,0,7.4,0.6,0.32,8,0
33,3,16,-11.66,0,16.2,0.9,0.17,3,0
5,3,20,-11.65,1,11.9,0.95,0.4,9,0
48,5,13,-14.27,1,10.7,0.97,0.22,11,1
19,5,1,-0.27,1,6.6,0.98,0.13,4,0
4,2,21,-1.72,4,18.7,0.76,0.09,6,0
35,4,10,-5.51,3,8.5,0.99,0.14,3,0
49,2,0,1.88,3,2.7,0.88,0.15,13,1
17,5,18,1.11,2,12.7,0.58,0.03,0,0
44,5,20,-3.29,1,3.2,0.74,0.15,8,0
28,1,3,2.37,4,7.6,0.86,0.19,3,0
30,5,18,-10.88,4,10.6,0.62,0.29,8,1
29,1,20,-12.76,3,17.6,0.82,0.26,5,0
46,4,10,-9.61,1,10.4,0.83,0.28,0,0
6,2,7,-13.86,2,14.3,0.58,0.0,11,1
35,2,10,-4.38,1,19.9,0.78,0.09,2,0
41,1,3,3.73,0,3.5,0.89,0.26,10,0
37,2,16,-14.21,1,6.2,0.75,0.19,1,0
24,5,6,-12.56,0,8.5,0.51,0.0,8,0
29,3,7,-5.96,0,9.0,0.5,0.32,11,0
49,1,2,3.68,2,8.8,0.68,0.31,0,1
46,2,21,-8.68,3,18.2,0.96,0.22,12,1
31,1,1,-4.86,1,14.6,0.61,0.03,13,0
35,1,22,-14.17,0,12.6,0.82,0.31,8,0
33,3,14,-12.03,1,6.9,0.61,0.23,8,1
21,5,23,4.73,3,16.7,0.66,0.31,7,1
32,1,21,4.3,3,19.1,0.92,0.3,7,0
23,2,21,-14.9,4,16.6,0.86,0.32,10,1
33,4,4,4.04,3,1.0,0.55,0.21,13,1
3,1,23,-2.22,2,13.1,0.71,0.06,11,1
18,1,0,2.36,0,2.0,0.51,0.27,0,0
25,3,3,-5.91,4,5.9,0.74,0.25,10,1
42,5,14,-4.69,2,2.1,0.83,0.3,7,1
31,4,19,-5.22,1,12.5,0.56,0.07,9,0
3,2,18,-1.66,0,14.0,0.64,0.08,13,0
40,4,2,-12.21,3,3.2,0.7,0.36,2,1
46,2,19,-14.4,0,8.3,0.96,0.3,10,0
24,5,10,-8.84,1,9.7,1.0,0.36,6,0
32,2,16,-0.91,4,8.0,0.52,0.3,10,1
47,3,12,-10.96,4,3.3,0.88,0.24,0,1
22,3,10,-1.53,4,9.0,0.69,0.26,0,1
23,3,1,4.4,3,15.3,0.7,0.36,9,1
2,3,8,-13.12,2,2.3,0.88,0.23,12,1
27,4,1,-1.55,2,2.5,0.96,0.25,4,1
42,5,20,-6.12,0,7.7,0.98,0.06,4,0
2,2,8,2.36,3,18.9,0.79,0.19,7,0
26,2,8,-11.46,4,13.7,0.68,0.29,6,1
17,3,7,-1.15,4,13.9,0.89,0.11,7,0
40,3,16,1.76,1,7.9,0.63,0.08,5,0
33,1,0,3.89,1,12.3,0.78,0.13,5,0
9,5,10,-1.34,4,1.2,0.68,0.1,1,0
43,4,7,-5.06,4,13.1,0.83,0.09,5,1
48,2,9,-2.64,3,18.4,0.62,0.17,4,1
39,1,6,2.38,2,12.6,0.6,0.36,12,1
29,1,2,-3.59,1,17.6,0.96,0.2,2,0
42,2,2,-14.39,2,14.8,0.55,0.08,5,1
26,4,17,3.62,3,3.3,0.75,0.03,7,0
35,1,4,-1.21,4,18.1,0.61,0.28,8,1
25,1,11,-1.47,2,2.3,0.52,0.15,0,0
24,5,11,-10.69,4,11.1,0.52,0.33,2,1
13,4,18,-1.82,4,3.7,0.59,0.26,2,1
7,1,5,-7.12,0,1.2,0.93,0.32,10,0
36,4,1,-1.98,2,9.0,0.64,0.11,7,1
45,2,11,-12.87,2,6.6,0.98,0.28,0,0
20,3,18,-1.84,4,10.2,0.79,0.11,4,1
1,1,4,4.99,3,12.0,0.72,0.38,2,0
8,5,11,-14.04,0,1.8,0.79,0.25,1,0
46,2,16,4.54,4,3.3,0.76,0.13,7,1
16,4,16,-6.86,1,11.6,0.88,0.11,2,0
14,2,9,2.42,1,7.5,0.64,0.08,6,0
12,1,22,0.65,0,14.9,0.68,0.28,11,0
23,4,16,-3.66,3,13.4,0.95,0.09,10,1
15,3,14,-0.23,4,17.1,0.97,0.24,0,0
28,2,11,2.57,2,14.2,0.95,0.11,5,0
34,1,15,-6.92,0,9.2,0.71,0.26,2,0
2,5,23,-8.46,3,13.8,0.89,0.33,7,1
32,4,18,-1.65,2,6.2,0.74,0.31,5,1
23,2,7,1.16,1,6.8,0.75,0.3,11,0
22,2,20,0.25,1,16.0,0.6,0.08,1,0
25,3,16,0.96,2,9.5,0.8,0.04,5,0
22,3,22,-6.29,0,16.2,0.59,0.28,6,0
22,5,4,1.36,1,16.6,0.67,0.15,4,0
49,5,21,-12.6,4,17.3,0.93,0.17,2,1
42,1,15,-4.11,2,18.4,0.6,0.01,3,0
6,1,5,-14.88,2,9.2,0.54,0.1,3,1
15,5,7,-8.51,1,7.1,0.53,0.01,5,0
43,5,17,-7.67,0,12.1,0.97,0.35,9,0
37,4,11,-7.08,4,8.1,0.75,0.1,0,1
33,3,14,-1.09,0,12.4,0.7,0.22,10,0
8,1,8,-7.23,3,14.4,0.91,0.02,3,0
44,3,12,-6.03,3,14.1,0.92,0.27,9,1
44,3,14,-10.25,1,8.1,0.67,0.13,12,1
5,5,9,-7.53,1,4.2,0.85,0.36,3,0
39,4,15,-10.45,1,9.2,0.89,0.36,9,0
4,2,6,-13.54,3,3.7,0.83,0.13,0,0
6,4,16,-2.93,0,17.9,0.58,0.36,8,0
45,4,22,-1.64,0,7.6,0.94,0.4,3,0
32,3,20,-2.61,1,3.9,0.77,0.33,6,0
30,4,21,-5.73,4,1.5,0.64,0.34,11,1
47,1,6,-7.4,0,13.3,0.71,0.1,13,0
35,3,13,2.27,3,13.1,0.52,0.23,2,1
40,1,14,-4.62,2,7.5,0.56,0.03,9,0
16,2,20,-5.42,2,2.4,0.88,0.04,11,0
13,3,6,-14.49,2,8.8,0.5,0.4,2,1
42,2,8,-8.18,4,6.9,0.71,0.13,13,1
30,3,18,-7.4,1,13.9,0.76,0.3,7,0
19,5,15,-7.02,3,12.5,0.53,0.32,7,1
17,4,7,-3.4,4,7.9,0.99,0.34,10,1
19,5,17,-4.33,3,5.1,0.61,0.4,11,1
28,2,22,-2.84,3,19.8,0.65,0.1,0,0
26,4,17,0.3,1,9.6,0.65,0.02,9,0
37,3,19,1.26,2,14.1,0.62,0.16,1,0
26,4,6,-0.64,1,3.7,0.5,0.05,7,0
23,1,2,4.11,4,10.2,0.86,0.01,0,1
9,4,17,-14.64,4,1.5,0.98,0.14,11,1
12,1,9,-11.08,4,10.6,0.61,0.31,7,1
1,4,6,-14.85,1,19.3,0.83,0.23,7,0
1,1,16,-2.05,3,8.3,0.87,0.13,1,0
47,2,13,2.96,3,1.7,0.92,0.26,3,0
34,5,23,-10.13,0,1.6,0.71,0.09,5,0
32,3,2,3.54,4,8.4,0.65,0.01,11,1
48,4,11,-13.79,3,4.0,0.66,0.31,10,1
25,5,12,3.69,0,1.4,0.86,0.25,8,0
40,3,1,-7.97,3,15.4,0.91,0.3,7,1
45,3,2,-12.97,4,9.7,0.59,0.02,11,1
1,1,4,-5.28,2,6.5,0.69,0.33,7,1
16,2,10,-9.86,4,18.1,0.95,0.25,6,1
39,2,7,-9.3,1,3.2,0.9,0.23,13,0
5,5,22,-8.85,3,19.2,0.99,0.25,12,1
22,2,22,1.06,3,7.0,0.88,0.35,8,1
29,4,11,-4.22,1,17.9,0.7,0.23,1,0
3,2,6,-8.77,1,12.5,0.8,0.23,2,0
12,5,14,-2.79,2,16.7,0.83,0.4,9,0
26,2,23,-0.68,3,19.7,0.54,0.3,7,1
16,4,16,-9.55,3,6.5,0.77,0.18,13,1
37,1,3,-6.73,2,19.3,0.85,0.28,5,1
22,5,21,-12.56,0,8.4,0.58,0.16,9,1
29,1,12,-11.38,2,8.3,0.89,0.09,8,0
